1900,410
1312,720
190,41
1312,720
820,450
1520,328
820,450
984,540
190,41
164,90
380,82
1312,720
1640,900
984,540
760,164
380,82
1312,720
1640,900
164,90
1640,900
380,82
656,360
820,450
570,123
1710,369
164,90
328,180
760,164
570,123
1520,328
190,41
1312,720
820,450
1710,369
1710,369
1312,720
190,41
328,180
1330,287
1148,630
1140,246
1900,410
570,123
820,450
492,270
380,82
820,450
492,270
1330,287
820,450
950,205
492,270
492,270
1476,810
656,360
1520,328
328,180
1640,900
190,41
1476,810
984,540
1640,900
1330,287
492,270
164,90
190,41
656,360
1312,720
820,450
820,450
190,41
1330,287
1520,328
1476,810
380,82
1330,287
950,205
164,90
820,450
1330,287
1900,410
492,270
164,90
1640,900
380,82
1140,246
1330,287
1900,410
1640,900
1710,369
1640,900
1640,900
1520,328
164,90
1900,410
1900,410
1710,369
950,205
190,41
190,41
1640,900
1900,410
656,360
190,41
1900,410
950,205
328,180
1140,246
492,270
950,205
984,540
570,123
164,90
1148,630
1140,246
1148,630
1710,369
984,540
950,205
164,90
164,90
950,205
1640,900
164,90
760,164
380,82
328,180
656,360
328,180
760,164
1900,410
1476,810
1140,246
820,450
760,164
1330,287
164,90
164,90
492,270
1520,328
950,205
1640,900
164,90
1520,328
1640,900
1640,900
190,41
380,82
492,270
820,450
1900,410
570,123
1312,720
1476,810
760,164
1140,246
190,41
492,270
950,205
950,205
380,82
1312,720
984,540
760,164
492,270
1148,630
1140,246
1520,328
570,123
984,540
760,164
570,123
1330,287
1148,630
1900,410
760,164
1640,900
1710,369
1476,810
1710,369
1140,246
492,270
1330,287
760,164
1476,810
820,450
570,123
950,205
570,123
1148,630
190,41
820,450
164,90
984,540
1710,369
950,205
164,90
760,164
1476,810
1330,287
1140,246
820,450
570,123
950,205
1710,369
1640,900
1640,900
328,180
1312,720
570,123
492,270
570,123
1520,328
1520,328
1520,328
570,123
1140,246
760,164
1312,720
1148,630
1312,720
760,164
1140,246
570,123
984,540
1710,369
984,540
1312,720
1330,287
380,82
950,205
164,90
1148,630
1312,720
164,90
570,123
570,123
820,450
164,90
492,270
1476,810
1900,410
570,123
380,82
570,123
1640,900
656,360
1640,900
1520,328
1710,369
984,540
820,450
570,123
1140,246
1140,246
1476,810
820,450
656,360
380,82
164,90
1476,810
1312,720
164,90
984,540
1140,246
1640,900
1148,630
1330,287
492,270
1312,720
1148,630
984,540
760,164
820,450
950,205
984,540
492,270
1640,900
1330,287
570,123
656,360
1520,328
984,540
1140,246
820,450
1710,369
820,450
820,450
1900,410
984,540
1640,900
1476,810
820,450
760,164
190,41
656,360
190,41
1330,287
1520,328
190,41
760,164
1520,328
1140,246
1312,720
1476,810
164,90
760,164
1640,900
1312,720
1312,720
656,360
1710,369
1520,328
656,360
1640,900
190,41
1640,900
1330,287
380,82
1710,369
984,540
164,90
1476,810
328,180
190,41
1710,369
1710,369
570,123
1148,630
164,90
820,450
1900,410
1476,810
820,450
1710,369
1330,287
760,164
1148,630
164,90
1140,246
492,270
950,205
656,360
950,205
1640,900
1148,630
164,90
656,360
1476,810
492,270
1330,287
1710,369
1312,720
1640,900
1520,328
1140,246
1312,720
328,180
190,41
1312,720
492,270
1312,720
1330,287
380,82
1476,810
1520,328
760,164
820,450
950,205
380,82
656,360
570,123
570,123
1900,410
1476,810
492,270
380,82
950,205
1148,630
492,270
820,450
1476,810
1710,369
570,123
984,540
984,540
760,164
1520,328
1476,810
656,360
190,41
492,270
950,205
1140,246
1148,630
570,123
1312,720
328,180
328,180
1148,630
1520,328
760,164
1312,720
1148,630
1710,369
380,82
950,205
984,540
1148,630
190,41
820,450
1140,246
380,82
1710,369
380,82
164,90
1140,246
1900,410
1640,900
328,180
1330,287
656,360
1710,369
1312,720
1710,369
380,82
656,360
380,82
656,360
492,270
656,360
1640,900
656,360
1640,900
190,41
1640,900
1148,630
1900,410
1640,900
1148,630
1312,720
656,360
1710,369
1330,287
164,90
1148,630
492,270
1330,287
164,90
820,450
1148,630
1312,720
328,180
1520,328
190,41
760,164
1330,287
380,82
1710,369
760,164
1900,410
1710,369
1140,246
570,123
1148,630
190,41
190,41
380,82
1330,287
760,164
328,180
164,90
570,123
656,360
1640,900
984,540
1520,328
1520,328
1140,246
164,90
1900,410
1312,720
1640,900
1140,246
1640,900
820,450
190,41
328,180
1640,900
820,450
1330,287
1900,410
1312,720
1710,369
492,270
492,270
570,123
1900,410
1330,287
950,205
